level_0,Date,Close,High,Low,Open,Volume,Month,Year,Daily Price Change,Percentage Price Change,MA7,MA30,Daily Return,Monthly Return,Volatility,High Low Difference
100,2022-10-28,152.88723754882812,154.61499335183578,145.11231396636444,145.4853431294892,164762400,October,2022,7.40189441933893,5.087725168817093,146.17813982282365,143.75955912272136,7.555250028795202,7.555250028795202,2.600528168941167,9.502679385471339
101,2022-10-31,150.53123474121094,151.41475823578028,149.13724698324478,150.3545390298714,97943200,October,2022,0.17669571133953355,0.11751937286338184,147.57354082380022,143.72225646972657,-1.541006852756266,-1.541006852756266,2.578474449560224,2.277511252535504
102,2022-11-01,147.89047241210938,152.60255171953904,146.3983256985316,152.2393339638939,80379300,November,2022,-4.348861551784523,-2.856595229729479,148.04755074637276,143.51773885091146,-1.7542952687802593,,2.5805024517299846,6.204226021007429
103,2022-11-02,142.37344360351562,149.3826576212183,142.34399432027527,146.22163806624556,93604600,November,2022,-3.8481944627299356,-2.6317544473045196,147.4276885986328,143.2333780924479,-3.73048291658713,-3.73048291658713,2.6422952594000777,7.038663300943028
104,2022-11-03,136.33609008789062,140.1842842462697,136.2084665510831,139.45783369878677,97918500,November,2022,-3.1217436108961465,-2.2384856612922595,145.54005868094308,142.77984059651692,-4.2405053659009155,-4.2405053659009155,2.7446338607544596,3.975817695186606
105,2022-11-04,136.07058715820312,140.28898493787645,132.1373429796548,139.71866273149064,140814800,November,2022,-3.648075573287514,-2.611015237311807,144.0338134765625,142.3930435180664,-0.19474148739071495,-0.19474148739071495,2.734764434211287,8.15164195822166
106,2022-11-07,136.60157775878906,136.8277351131925,133.40581664759068,134.82178704829124,83374600,November,2022,1.7797907104978208,1.3201061560327227,143.24152047293526,142.012819925944,0.39023172580903154,0.39023172580903154,2.735886173148285,3.421918465601806
107,2022-11-08,137.17189025878906,139.06967336647747,135.19544046730184,138.06670690734794,89908500,November,2022,-0.8948166485588729,-0.6481045782886349,140.99647086007255,141.61921132405598,0.41750066826244936,0.41750066826244936,2.733558196869915,3.874232899175638
108,2022-11-09,132.61915588378906,136.2377483327938,132.3438299914245,136.18857977969958,74917800,November,2022,-3.569423895910518,-2.6209421536552218,138.43760245186942,141.1366734822591,-3.3189995168913966,-3.3189995168913966,2.7853720604591095,3.8939183413693
109,2022-11-10,144.4188690185547,144.4188690185547,137.17187238968415,138.88283878011893,118854000,November,2022,5.536030238435757,3.9861154099827045,137.94165910993303,141.28829803466797,8.89744249699902,8.89744249699902,3.1192590659052835,7.246996628870534
110,2022-11-11,147.20167541503906,147.5064994693465,141.9606252113591,143.3864383750097,93979700,November,2022,3.815237040029359,2.6608074538061075,138.63140651157923,141.67273610432943,1.9268994525409644,1.9268994525409644,3.0768047942951298,5.545874257987407
